example_id,budget,method,runtime_method,prediction,is_correct,actions,expansions,absent_from_tree,present_not_selected,early_prefix,early_unique_answer_groups,early_repeated_family_expansions,early_repeated_family_expansion_rate,early_maturation_actions,early_gated_override_considered,early_gated_override_applied,early_gated_override_skipped_reason,early_gated_override_triggers
mock_0,4,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,82,0,4,4,0,0,2,2,1,1.0,0,0,0,disabled,
mock_1,4,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,85,1,4,4,0,0,2,1,1,1.0,0,0,0,disabled,
mock_2,4,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,103,1,4,4,0,0,2,1,1,1.0,0,0,0,disabled,
mock_3,4,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,44,1,4,4,0,0,2,1,1,1.0,0,0,0,disabled,
mock_4,4,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,19,1,4,4,0,0,2,1,1,1.0,0,0,0,disabled,
mock_5,4,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,29,1,4,4,0,0,2,1,1,1.0,0,0,0,disabled,
mock_0,4,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,84,0,4,4,0,0,2,1,1,1.0,2,0,0,disabled,
mock_1,4,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,,0,4,4,0,0,2,1,1,1.0,2,0,0,disabled,
mock_2,4,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,103,1,4,4,0,0,2,1,1,1.0,2,0,0,disabled,
mock_3,4,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,47,0,4,4,0,0,2,2,1,1.0,2,0,0,disabled,
mock_4,4,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,18,0,4,4,0,0,2,2,1,1.0,2,0,0,disabled,
mock_5,4,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,29,1,4,4,0,0,2,1,1,1.0,2,0,0,disabled,
mock_0,4,early_answer_diversity_maturation_gated_v1,early_answer_diversity_maturation_gated_v1,85,1,4,4,0,0,2,1,1,1.0,0,2,0,no_collapse_trigger,
mock_1,4,early_answer_diversity_maturation_gated_v1,early_answer_diversity_maturation_gated_v1,87,0,4,4,0,0,2,1,0,0.0,0,2,0,no_collapse_trigger,
mock_2,4,early_answer_diversity_maturation_gated_v1,early_answer_diversity_maturation_gated_v1,102,0,4,4,0,0,2,1,1,1.0,0,2,0,no_collapse_trigger,
mock_3,4,early_answer_diversity_maturation_gated_v1,early_answer_diversity_maturation_gated_v1,44,1,4,4,0,0,2,1,1,1.0,0,2,0,no_collapse_trigger,
mock_4,4,early_answer_diversity_maturation_gated_v1,early_answer_diversity_maturation_gated_v1,20,0,4,4,0,0,2,2,1,1.0,0,2,0,no_collapse_trigger,
mock_5,4,early_answer_diversity_maturation_gated_v1,early_answer_diversity_maturation_gated_v1,29,1,4,4,0,0,2,2,1,1.0,0,2,0,no_collapse_trigger,
