policy,threshold,example_id,seed,budget,base_answer,learned_answer,final_answer,gold_answer,override,base_ok,final_ok,improvement,degradation,control_degradation
margin_only,0.00,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
margin_plus_support,0.00,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
margin_plus_cross_method,0.00,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
margin_plus_base_uncertain,0.00,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
safe_union,0.00,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
margin_only,0.02,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
margin_plus_support,0.02,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
margin_plus_cross_method,0.02,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
margin_plus_base_uncertain,0.02,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
safe_union,0.02,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
margin_only,0.05,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
margin_plus_support,0.05,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
margin_plus_cross_method,0.05,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
margin_plus_base_uncertain,0.05,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
safe_union,0.05,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
margin_only,0.10,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
margin_plus_support,0.10,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
margin_plus_cross_method,0.10,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
margin_plus_base_uncertain,0.10,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
safe_union,0.10,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
margin_only,0.20,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
margin_plus_support,0.20,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
margin_plus_cross_method,0.20,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
margin_plus_base_uncertain,0.20,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
safe_union,0.20,openai_gsm8k_0,23,4,11,11,11,11,0,1,1,0,0,0
margin_only,0.00,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
margin_plus_support,0.00,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
margin_plus_cross_method,0.00,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
margin_plus_base_uncertain,0.00,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
safe_union,0.00,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
margin_only,0.02,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
margin_plus_support,0.02,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
margin_plus_cross_method,0.02,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
margin_plus_base_uncertain,0.02,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
safe_union,0.02,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
margin_only,0.05,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
margin_plus_support,0.05,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
margin_plus_cross_method,0.05,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
margin_plus_base_uncertain,0.05,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
safe_union,0.05,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
margin_only,0.10,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
margin_plus_support,0.10,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
margin_plus_cross_method,0.10,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
margin_plus_base_uncertain,0.10,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
safe_union,0.10,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
margin_only,0.20,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
margin_plus_support,0.20,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
margin_plus_cross_method,0.20,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
margin_plus_base_uncertain,0.20,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
safe_union,0.20,openai_gsm8k_1,23,4,106,106,106,106,0,1,1,0,0,0
margin_only,0.00,openai_gsm8k_10,23,4,39,117,117,39,1,1,0,0,1,0
margin_plus_support,0.00,openai_gsm8k_10,23,4,39,117,117,39,1,1,0,0,1,0
margin_plus_cross_method,0.00,openai_gsm8k_10,23,4,39,117,39,39,0,1,1,0,0,0
margin_plus_base_uncertain,0.00,openai_gsm8k_10,23,4,39,117,117,39,1,1,0,0,1,0
safe_union,0.00,openai_gsm8k_10,23,4,39,117,117,39,1,1,0,0,1,0
margin_only,0.02,openai_gsm8k_10,23,4,39,117,39,39,0,1,1,0,0,0
margin_plus_support,0.02,openai_gsm8k_10,23,4,39,117,39,39,0,1,1,0,0,0
margin_plus_cross_method,0.02,openai_gsm8k_10,23,4,39,117,39,39,0,1,1,0,0,0
margin_plus_base_uncertain,0.02,openai_gsm8k_10,23,4,39,117,39,39,0,1,1,0,0,0
safe_union,0.02,openai_gsm8k_10,23,4,39,117,39,39,0,1,1,0,0,0
margin_only,0.05,openai_gsm8k_10,23,4,39,117,39,39,0,1,1,0,0,0
margin_plus_support,0.05,openai_gsm8k_10,23,4,39,117,39,39,0,1,1,0,0,0
margin_plus_cross_method,0.05,openai_gsm8k_10,23,4,39,117,39,39,0,1,1,0,0,0
margin_plus_base_uncertain,0.05,openai_gsm8k_10,23,4,39,117,39,39,0,1,1,0,0,0
safe_union,0.05,openai_gsm8k_10,23,4,39,117,39,39,0,1,1,0,0,0
margin_only,0.10,openai_gsm8k_10,23,4,39,117,39,39,0,1,1,0,0,0
margin_plus_support,0.10,openai_gsm8k_10,23,4,39,117,39,39,0,1,1,0,0,0
margin_plus_cross_method,0.10,openai_gsm8k_10,23,4,39,117,39,39,0,1,1,0,0,0
margin_plus_base_uncertain,0.10,openai_gsm8k_10,23,4,39,117,39,39,0,1,1,0,0,0
safe_union,0.10,openai_gsm8k_10,23,4,39,117,39,39,0,1,1,0,0,0
margin_only,0.20,openai_gsm8k_10,23,4,39,117,39,39,0,1,1,0,0,0
margin_plus_support,0.20,openai_gsm8k_10,23,4,39,117,39,39,0,1,1,0,0,0
margin_plus_cross_method,0.20,openai_gsm8k_10,23,4,39,117,39,39,0,1,1,0,0,0
margin_plus_base_uncertain,0.20,openai_gsm8k_10,23,4,39,117,39,39,0,1,1,0,0,0
