case_id,gold_answer,external_l1_prediction,external_l1_correct,baseline_pal_prediction,baseline_pal_correct,integrated_prediction,integrated_correct,integrated_action,cohere_call_made,response_text_path,notes
openai_gsm8k_672,240,240,1,240,1,240,1,base_method_no_retry,no,,
openai_gsm8k_673,9,9,1,9,1,9,1,base_method_no_retry,no,,
openai_gsm8k_674,10,10,1,13,0,13,0,targeted_retry,no,,dry_run_no_api_call
openai_gsm8k_675,58,98,0,58,1,58,1,base_method_no_retry,no,,
openai_gsm8k_676,6,6,1,6,1,6,1,base_method_no_retry,no,,
openai_gsm8k_677,35,35,1,35,1,35,1,base_method_no_retry,no,,
openai_gsm8k_678,5,5,1,5,1,5,1,base_method_no_retry,no,,
openai_gsm8k_679,10,10,1,10,1,10,1,base_method_no_retry,no,,
openai_gsm8k_680,112,112,1,112,1,112,1,base_method_no_retry,no,,
openai_gsm8k_681,7,7.00,1,7,1,7,1,base_method_no_retry,no,,
openai_gsm8k_682,35,35,1,35,1,35,1,base_method_no_retry,no,,
openai_gsm8k_683,94,94,1,62,0,62,0,targeted_retry,no,,dry_run_no_api_call
openai_gsm8k_684,77,77,1,77,1,77,1,base_method_no_retry,no,,
openai_gsm8k_685,2,2,1,2,1,2,1,base_method_no_retry,no,,
openai_gsm8k_686,2325,2325,1,2325,1,2325,1,base_method_no_retry,no,,
openai_gsm8k_687,140,56000,0,99076.92307692308,0,99076.92307692308,0,base_method_no_retry,no,,
openai_gsm8k_688,180000,180000,1,180000,1,180000,1,base_method_no_retry,no,,
openai_gsm8k_689,32,32,1,32,1,32,1,base_method_no_retry,no,,
openai_gsm8k_690,10,10,1,10,1,10,1,base_method_no_retry,no,,
openai_gsm8k_691,10,10,1,10,1,10,1,base_method_no_retry,no,,
openai_gsm8k_692,700,700,1,700,1,700,1,base_method_no_retry,no,,
openai_gsm8k_693,120,120,1,120,1,120,1,base_method_no_retry,no,,
openai_gsm8k_694,65960,65960,1,65960,1,65960,1,base_method_no_retry,no,,
openai_gsm8k_695,194,4125,0,1,0,1,0,base_method_no_retry,no,,
openai_gsm8k_696,57500,57500,1,57500,1,57500,1,base_method_no_retry,no,,
openai_gsm8k_697,48,48,1,48,1,48,1,base_method_no_retry,no,,
openai_gsm8k_698,20,20,1,20,1,20,1,base_method_no_retry,no,,
openai_gsm8k_699,300,300,1,300,1,300,1,base_method_no_retry,no,,
openai_gsm8k_700,860,860,1,860,1,860,1,base_method_no_retry,no,,
openai_gsm8k_701,842,842,1,842,1,842,1,base_method_no_retry,no,,
openai_gsm8k_702,138,139,0,139,0,139,0,base_method_no_retry,no,,
openai_gsm8k_703,1375,1375,1,1375,1,1375,1,base_method_no_retry,no,,
openai_gsm8k_704,90,90,1,90,1,90,1,base_method_no_retry,no,,
openai_gsm8k_705,3200,3200,1,3200,1,3200,1,base_method_no_retry,no,,
openai_gsm8k_706,25,2,0,100,0,100,0,base_method_no_retry,no,,
openai_gsm8k_707,145,14,0,14,0,14,0,base_method_no_retry,no,,
openai_gsm8k_708,7500,7500,1,7500,1,7500,1,base_method_no_retry,no,,
openai_gsm8k_709,1240,1240,1,1240,1,1240,1,base_method_no_retry,no,,
openai_gsm8k_710,48,48,1,48,1,48,1,base_method_no_retry,no,,
openai_gsm8k_711,63,63,1,63,1,63,1,base_method_no_retry,no,,
